Unnamed: 0,track_id,track_name,track_popularity,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,album_id,album_name,album_image,main_artist_id,artist,genres
0,5vNRhkKd0yEAg8suGBpjeY,APT.,98,2024-10-18,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,169917,2IYQwwgxgOIn7t3iF6ufFD,APT.,https://i.scdn.co/image/ab67616d0000b273ba60245b7725fdc3719027c0,3eVa5w3URK5duf6eyVDbu9,rosé bruno mars,kpop
1,2plbrEY59IikOBgBGLjaoe,Die With A Smile,100,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,251667,10FLjwfpbxLmW8c25Xyc2N,Die With A Smile,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,1HY2Jd0NmPuamShAr6KMms,lady gaga bruno mars,art pop dance pop pop
2,2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),64,2024-11-21,0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,177598,1Ss0ArMRr91m83mOgRBjSZ,GNX,https://i.scdn.co/image/ab67616d0000b27309d6ed214f03fbb663e46531,2YZyLoL8N0Wb9xBt1NhZWg,kendrick lamar sza,conscious hip hop hip hop rap west coast rap
3,0nj9Bq5sHDiTxSHunhgkFb,squabble up,86,2024-11-22,0.874,0.672,0,-5.568,1,0.198,0.0206,0.0,0.0783,0.711,103.921,157992,0hvT3yIEysuuvkK73vgdcW,GNX,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,2YZyLoL8N0Wb9xBt1NhZWg,kendrick lamar,conscious hip hop hip hop rap west coast rap
4,0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),85,2024-11-22,0.855,0.529,6,-6.679,0,0.263,0.0837,0.0,0.423,0.548,100.036,220690,0hvT3yIEysuuvkK73vgdcW,GNX,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,2YZyLoL8N0Wb9xBt1NhZWg,kendrick lamar lefty gunplay,conscious hip hop hip hop rap west coast rap
5,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,97,2024-05-17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,210373,7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,6qqNVTkY8uBg9cP3Jd7DAH,billie eilish,art pop pop
6,7ne4VBA60CxGM75vw0EYad,That’s So True,94,2024-10-18,0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,166300,0hBRqPYPXhr1RkTDG3n4Mk,The Secret of Us (Deluxe),https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,4tuJ0bMpJh08umKkEXKUI5,gracie abrams,alt z
7,4lriIG2vNqwDWzOj2I9rtj,Ma Meilleure Ennemie (from the series Arcane League of Legends),77,2024-11-23,0.678,0.604,4,-7.926,0,0.0962,0.00465,0.000936,0.278,0.374,88.0,147973,3ZZlKPrWKSVI28zT3AGLQB,Ma Meilleure Ennemie (from the series Arcane League of Legends),https://i.scdn.co/image/ab67616d0000b2732aab4ea84f431ad7d92fecbb,5j4HeCoUlzhfWtjAfM1acR,stromae pomme arcane,belgian pop ghouse
8,7tI8dRuH2Yc6RuoTjxo4dU,Who,92,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,170887,15XcLhiVMlSOipUddTNDnr,MUSE,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,1oSPZhvZMIrWW5I41kPkkY,jimin,kpop
9,5gOfC9UzZQzTyShqPMrpjT,wacced out murals,84,2024-11-22,0.761,0.501,9,-10.759,0,0.459,0.249,0.0,0.136,0.502,81.998,317092,0hvT3yIEysuuvkK73vgdcW,GNX,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,2YZyLoL8N0Wb9xBt1NhZWg,kendrick lamar,conscious hip hop hip hop rap west coast rap
10,2262bWmqomIaJXwCRHr13j,Sailor Song,94,2024-07-26,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72e-05,0.193,0.273,94.938,211978,68CN2LzY8MoxO2udy2C22e,Sailor Song,https://i.scdn.co/image/ab67616d0000b273e6065f209e0a01986206bd53,1iCnM8foFssWlPRLfAbIwo,gigi perez,bedroom pop
11,5S8VwnB4sLi6W0lYTWYylu,hey now (feat. dody6),83,2024-11-22,0.806,0.358,10,-8.769,1,0.117,0.00443,0.00162,0.412,0.188,102.011,217478,0hvT3yIEysuuvkK73vgdcW,GNX,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,2YZyLoL8N0Wb9xBt1NhZWg,kendrick lamar dody6,conscious hip hop hip hop rap west coast rap
